     2.754     0.964     0.036     0.000     1.000
     3.369     0.690     0.310     0.000     1.000
     3.281     0.761     0.239     0.000     1.000
     2.263     0.987     0.005     0.008     1.000
     3.257     0.778     0.222     0.000     1.000
     2.378     0.988     0.008     0.004     1.000
     2.475     0.986     0.012     0.002     1.000
     2.895     0.938     0.062     0.000     1.000
     2.625     0.977     0.022     0.001     1.000
     2.781     0.960     0.040     0.000     1.000
     2.734     0.966     0.033     0.000     1.000
     2.199     0.985     0.004     0.012     1.000
     3.135     0.852     0.148     0.000     1.000
     1.051     0.077     0.000     0.923     3.000
     2.657     0.975     0.025     0.001     1.000
     2.808     0.955     0.045     0.000     1.000
